Row Labels,Average of SNR_Ant,Average of SNR_Post,Average of CNR_Ant,Average of CNR_Post,Average of Noise_bg
670,44.82452374,50.37965635,-30.10757866,-24.55244605,0.019252865
LEHR,44.82452374,50.37965635,-30.10757866,-24.55244605,0.019252865
3,44.82452374,50.37965635,-30.10757866,-24.55244605,0.019252865
670Pro,126.293994,141.1178259,-74.26421556,-59.44038367,0.015864469
LEHR,126.293994,141.1178259,-74.26421556,-59.44038367,0.015864469
3,126.293994,141.1178259,-74.26421556,-59.44038367,0.015864469
870DR,138.5286402,156.2882394,-102.2098581,-84.45025891,0.015190804
LEHR,174.9691148,198.0981743,-117.5447679,-94.41570838,0.012675375
5,174.9691148,198.0981743,-117.5447679,-94.41570838,0.012675375
LEHRS,85.38628158,95.31541766,-79.84644785,-69.91731177,0.018859137
3Clarity,85.38628158,95.31541766,-79.84644785,-69.91731177,0.018859137
Apollo,135.4904337,127.053029,-58.85109271,-67.28849739,0.020037105
WEHR45,135.4904337,127.053029,-58.85109271,-67.28849739,0.020037105
3Clarity,135.4904337,127.053029,-58.85109271,-67.28849739,0.020037105
(blank),,,,,
(blank),,,,,
(blank),,,,,
Grand Total,127.0812797,131.9631551,-71.92425873,-67.04238336,0.017746736